Timestamp,ID,DLC,Data,Fuel,Odometer,DoorFL,DoorFR,DoorRL,DoorRR,Trunk,ABS_FL,ABS_FR,ABS_RL,ABS_RR,EPS_Torque,Airbag,Battery,Ignition,Lambda,ABS_Active,TCS_Active,FanSpeed,AC,TireTemp,TirePressure
75646,253,8,"03 75 00 00 E3 01 66 05",0,12591104,0,0,0,0,0,0,0,0,0,30726,0,0.10,3,1.17,1,2,6,32,29,0
75657,215,6,"FF F0 FF 00 FF FF",0,12591104,0,0,0,0,0,0,0,0,0,30726,0,0.10,3,1.17,1,2,6,32,29,0
75671,216,3,"40 00 00",0,12591104,0,0,0,0,0,0,0,0,0,30726,0,0.10,3,1.17,1,2,6,32,29,0
75687,625,6,"32 00 FF 1D 00 00",0,12591104,0,0,0,0,0,0,0,0,0,30726,0,0.10,3,1.17,1,2,6,32,29,0
75796,300,1,"01",0,12591104,0,0,0,0,0,0,0,0,0,30726,0,0.10,3,1.17,1,2,6,32,29,0
75829,215,6,"FF F0 FF 00 FF FF",0,12591104,0,0,0,0,0,0,0,0,0,30726,0,0.10,3,1.17,1,2,6,32,29,0
75844,2DE,8,"00 00 80 06 5F FF 0C 8C",0,12591104,0,0,0,0,0,0,0,0,0,30726,0,0.10,3,1.17,1,2,6,32,29,0
75860,23E,8,"02 42 F0 76 01 DA 0F A0",0,12591104,0,0,0,0,0,0,0,0,0,30726,0,0.10,3,1.17,1,2,6,32,29,0
75880,2DE,8,"00 00 80 06 5F FF 0C 8C",0,12591104,0,0,0,0,0,0,0,0,0,30726,0,0.10,3,1.17,1,2,6,32,29,0
75900,253,8,"02 75 00 00 EA 01 7A 05",0,12591104,0,0,0,0,0,0,0,0,0,30726,0,0.10,3,1.17,1,2,6,32,29,0
75921,280,8,"00 E0 40 00 05 5B 2B 40",0,12591104,0,0,0,0,0,0,0,0,0,30726,0,0.10,3,1.17,1,2,6,32,29,0
75942,215,6,"FF F0 FF 00 FF FF",0,12591104,0,0,0,0,0,0,0,0,0,30726,0,0.10,3,1.17,1,2,6,32,29,0
75965,2DE,8,"00 00 80 06 5F FF 0C 8C",0,12591104,0,0,0,0,0,0,0,0,0,30726,0,0.10,3,1.17,1,2,6,32,29,0
75987,2DE,8,"00 00 80 06 5F FF 0C 8C",0,12591104,0,0,0,0,0,0,0,0,0,30726,0,0.10,3,1.17,1,2,6,32,29,0
76012,300,1,"01",0,12591104,0,0,0,0,0,0,0,0,0,30726,0,0.10,3,1.17,1,2,6,32,29,0
76039,1F9,8,"20 00 31 83 00 00 00 00",0,12591104,0,0,0,0,0,0,0,0,0,30726,0,0.10,3,1.17,1,2,6,32,29,0
76066,300,1,"00",0,12591104,0,0,0,0,0,0,0,0,0,30726,0,0.00,3,1.17,1,2,6,32,29,0
76094,253,8,"03 75 00 00 F2 01 91 05",0,12591104,0,0,0,0,0,0,0,0,0,30726,0,0.00,3,1.17,1,2,6,32,29,0
76123,215,6,"FF F0 FF 00 FF FF",0,12591104,0,0,0,0,0,0,0,0,0,30726,0,0.00,3,1.17,1,2,6,32,29,0
76152,60D,8,"00 06 00 00 00 00 20 00",0,12591104,0,0,0,0,0,0,0,0,0,30726,0,0.00,3,1.17,1,2,6,32,29,0
76307,2DE,8,"00 00 80 06 5F FF 0C 8C",0,12591104,0,0,0,0,0,0,0,0,0,30726,0,0.00,3,1.17,1,2,6,32,29,0
76328,2DE,8,"00 00 80 06 5F FF 0C 8C",0,12591104,0,0,0,0,0,0,0,0,0,30726,0,0.00,3,1.17,1,2,6,32,29,0
76350,280,8,"00 0A 80 00 05 71 46 40",0,12591104,0,0,0,0,0,0,0,0,0,30726,0,0.00,3,1.17,1,2,6,32,29,0
76374,2DE,8,"00 00 80 06 5F FF 0C 8C",0,12591104,0,0,0,0,0,0,0,0,0,30726,0,0.00,3,1.17,1,2,6,32,29,0
76401,215,6,"FF F0 FF 00 FF FF",0,12591104,0,0,0,0,0,0,0,0,0,30726,0,0.00,3,1.17,1,2,6,32,29,0
76427,181,8,"31 E7 41 1A 4A 20 00 02",0,12591104,0,0,0,0,0,0,0,0,0,30726,0,0.00,3,1.17,1,2,6,32,29,0
76455,300,1,"01",0,12591104,0,0,0,0,0,0,0,0,0,30726,0,0.10,3,1.17,1,2,6,32,29,0
76482,551,8,"4E CE 00 80 00 02 80 FF",0,12591104,0,0,0,0,0,0,0,0,0,30726,0,0.10,3,1.17,1,2,6,32,29,0
76511,181,8,"32 19 41 1A 4A 20 00 02",0,12591104,0,0,0,0,0,0,0,0,0,30726,0,0.10,3,1.17,1,2,6,32,29,0
76539,358,8,"01 00 00 00 02 00 00 00",0,12591104,0,0,0,0,0,0,0,0,0,30726,0,0.10,3,1.17,1,2,6,32,29,0
76570,215,6,"FF F0 FF 00 FF FF",0,12591104,0,0,0,0,0,0,0,0,0,30726,0,0.10,3,1.17,1,2,6,32,29,0
76602,280,8,"00 0B 80 00 05 91 45 40",0,12591104,0,0,0,0,0,0,0,0,0,30726,0,0.10,3,1.17,1,2,6,32,29,0
76635,2DE,8,"00 00 80 06 5F FF 0C 8C",0,12591104,0,0,0,0,0,0,0,0,0,30726,0,0.10,3,1.17,1,2,6,32,29,0
76669,215,6,"FF F0 FF 00 FF FF",0,12591104,0,0,0,0,0,0,0,0,0,30726,0,0.10,3,1.17,1,2,6,32,29,0
76704,23D,8,"20 15 0D 03 02 3C 01 58",0,12591104,0,0,0,0,0,0,0,0,0,30726,0,0.10,3,1.17,1,2,6,32,29,0
76867,215,6,"FF F0 FF 00 FF FF",0,12591104,0,0,0,0,0,0,0,0,0,30726,0,0.10,3,1.17,1,2,6,32,29,0
76896,358,8,"01 00 00 00 02 00 00 00",0,12591104,0,0,0,0,0,0,0,0,0,30726,0,0.10,3,1.17,1,2,6,32,29,0
76924,280,8,"00 0D 80 00 05 9A 46 40",0,12591104,0,0,0,0,0,0,0,0,0,30726,0,0.10,3,1.17,1,2,6,32,29,0
76953,181,8,"32 32 41 1A 4A 20 00 02",0,12591104,0,0,0,0,0,0,0,0,0,30726,0,0.10,3,1.17,1,2,6,32,29,0
76983,181,8,"32 4B 41 1A 4A 20 00 02",0,12591104,0,0,0,0,0,0,0,0,0,30726,0,0.10,3,1.17,1,2,6,32,29,0
77024,280,8,"00 E7 40 00 05 AB 2E 40",0,12591104,0,0,0,0,0,0,0,0,0,30726,0,0.10,3,1.17,1,2,6,32,29,0
77040,358,8,"01 00 00 00 02 00 00 00",0,12591104,0,0,0,0,0,0,0,0,0,30726,0,0.10,3,1.17,1,2,6,32,29,0
77059,215,6,"FF F0 FF 00 FF FF",0,12591104,0,0,0,0,0,0,0,0,0,30726,0,0.10,3,1.17,1,2,6,32,29,0
77079,181,8,"31 B5 3C 10 38 20 00 02",0,12591104,0,0,0,0,0,0,0,0,0,30726,0,0.10,3,1.17,1,2,6,32,29,0
77099,251,8,"00 00 00 08 00 40 20 00",0,4202496,0,0,0,0,0,0,0,0,0,30726,0,0.10,3,1.17,1,2,6,32,29,0
77121,300,1,"07",0,4202496,0,0,0,0,0,0,0,0,0,30726,0,0.70,3,1.17,1,2,6,32,29,0
77144,2DE,8,"00 00 80 06 5F FF 0C 8C",0,4202496,0,0,0,0,0,0,0,0,0,30726,0,0.70,3,1.17,1,2,6,32,29,0
77168,1F9,8,"20 00 2F 12 00 00 00 00",0,4202496,0,0,0,0,0,0,0,0,0,30726,0,0.70,3,1.17,1,2,6,32,29,0
77193,181,8,"2E 95 3A 10 38 20 00 02",0,4202496,0,0,0,0,0,0,0,0,0,30726,0,0.70,3,1.17,1,2,6,32,29,0
77218,358,8,"01 00 00 00 02 00 00 00",0,4202496,0,0,0,0,0,0,0,0,0,30726,0,0.70,3,1.17,1,2,6,32,29,0
77368,5C5,8,"40 03 00 90 00 0C 00 7F",0,419507,0,0,0,0,0,0,0,0,0,30726,0,0.70,3,1.17,1,2,6,32,29,0
77386,181,8,"2D 82 39 10 38 20 00 02",0,419507,0,0,0,0,0,0,0,0,0,30726,0,0.70,3,1.17,1,2,6,32,29,0
77403,300,1,"02",0,419507,0,0,0,0,0,0,0,0,0,30726,0,0.20,3,1.17,1,2,6,32,29,0
77421,215,6,"FF F0 FF 00 FF FF",0,419507,0,0,0,0,0,0,0,0,0,30726,0,0.20,3,1.17,1,2,6,32,29,0
77441,5C5,8,"40 03 00 90 00 0C 00 7F",0,419507,0,0,0,0,0,0,0,0,0,30726,0,0.20,3,1.17,1,2,6,32,29,0
77462,280,8,"00 C7 40 00 05 AF 1C 40",0,419507,0,0,0,0,0,0,0,0,0,30726,0,0.20,3,1.17,1,2,6,32,29,0
77486,215,6,"FF F0 FF 00 FF FF",0,419507,0,0,0,0,0,0,0,0,0,30726,0,0.20,3,1.17,1,2,6,32,29,0
77508,181,8,"28 6E 3A 10 39 20 00 02",0,419507,0,0,0,0,0,0,0,0,0,30726,0,0.20,3,1.17,1,2,6,32,29,0
77532,2DE,8,"00 00 80 06 5F FF 0C 8C",0,419507,0,0,0,0,0,0,0,0,0,30726,0,0.20,3,1.17,1,2,6,32,29,0
77558,2DE,8,"00 00 80 06 5F FF 0C 8C",0,419507,0,0,0,0,0,0,0,0,0,30726,0,0.20,3,1.17,1,2,6,32,29,0
